Class,Order,Family,Genus,Species,Common name,Female maturity (days),Male maturity (days),Gestation/Incubation (days),Weaning (days),Litter/Clutch size,Litters/Clutches per year,Inter-litter/Interbirth interval,Birth weight (g),Weaning weight (g),Adult weight (g),Growth rate (1/days),Maximum longevity (yrs),Specimen origin,Metabolic rate (W),Body mass (g),Temperature (K)
Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,Pygmy hippopotamus,1278.0,1644.0,199.0,198.0,1.0,0.4,,4900.0,,215000.0,,42.3,captivity,,,
Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus,1279.0,1279.0,234.0,341.0,1.0,0.6,563.0,40000.0,237500.0,3750000.0,,61.2,captivity,,,308.55
Mammalia,Artiodactyla,Moschidae,Moschus,berezovskii,Chinese forest musk deer,540.0,540.0,197.0,,1.0,1.0,,524.0,,12000.0,,,unknown,,,
Mammalia,Artiodactyla,Moschidae,Moschus,chrysogaster,Alpine musk deer,639.0,,188.0,,1.0,1.0,,800.0,,11000.0,,,unknown,,,
Mammalia,Artiodactyla,Moschidae,Moschus,moschiferus,Siberian musk deer,473.0,,162.0,106.0,1.5,1.0,,458.75,,10000.0,,,unknown,,,
Mammalia,Artiodactyla,Suidae,Babyrousa,babyrussa,Babirusa,548.0,548.0,153.0,213.0,1.3,2.0,,715.0,,71500.0,,22.9,captivity,,,
Mammalia,Artiodactyla,Suidae,Hylochoerus,meinertzhageni,Giant forest hog,365.0,517.0,132.0,68.0,5.0,1.0,365.0,1250.0,,202500.0,,,unknown,,,
Mammalia,Artiodactyla,Suidae,Phacochoerus,africanus,Wart hog,578.0,578.0,164.0,84.0,3.0,1.5,426.0,660.0,,100000.0,,30.0,captivity,,,
Mammalia,Artiodactyla,Suidae,Potamochoerus,larvatus,Bushpig,1096.0,1096.0,122.0,,2.7,,,,,87500.0,,,unknown,,,
Mammalia,Artiodactyla,Suidae,Potamochoerus,porcus,Red river hog,1096.0,1096.0,122.0,91.0,3.0,,365.0,775.0,,88000.0,0.0099,22.0,captivity,,,
Mammalia,Artiodactyla,Suidae,Sus,barbatus,Bearded pig,362.0,,122.0,,4.0,1.0,,,,102750.0,,16.2,captivity,,,
Mammalia,Artiodactyla,Suidae,Sus,salvanius,Pygmy hog,700.0,700.0,108.0,,3.0,,,191.5,,8000.0,,14.0,captivity,,,
Mammalia,Artiodactyla,Suidae,Sus,scrofa,Wild boar,334.0,768.0,115.0,,7.0,1.5,230.0,960.0,,130000.0,0.0095,27.0,captivity,104.15,135000.0,312.15
Mammalia,Artiodactyla,Suidae,Sus,verrucosus,Javan pig,274.0,,120.0,,6.0,,,1000.0,,76000.0,,17.0,captivity,,,
Mammalia,Artiodactyla,Tayassuidae,Catagonus,wagneri,Chacoan peccary,1096.0,,152.0,,2.4,,,610.0,,34750.0,,,unknown,,,
Mammalia,Artiodactyla,Tayassuidae,Pecari,tajacu,Collared peccary,329.0,358.0,145.0,49.0,2.0,2.0,155.0,700.0,4881.0,20200.0,,31.5,captivity,33.165,20500.0,310.65
Mammalia,Artiodactyla,Tayassuidae,Tayassu,pecari,White-lipped peccary,548.0,548.0,158.0,50.0,2.0,,,700.0,,22000.0,,28.5,captivity,,,311.65
Mammalia,Artiodactyla,Tragulidae,Hyemoschus,aquaticus,Water chevrotain,403.0,403.0,175.0,180.0,1.25,1.0,,,,11000.0,,,unknown,,,
Mammalia,Artiodactyla,Tragulidae,Moschiola,meminna,Indian spotted chevrotain,,,150.0,,1.5,,,319.0,,2450.0,,14.5,captivity,,,
Mammalia,Artiodactyla,Tragulidae,Tragulus,javanicus,Lesser mouse-deer,167.0,167.0,144.0,84.0,1.0,,,370.0,,2850.0,,14.0,captivity,4.883,1615.5,311.55
Mammalia,Artiodactyla,Tragulidae,Tragulus,napu,Greater mouse-deer,137.0,135.0,153.0,91.0,1.0,1.0,152.0,373.0,,6500.0,,16.7,captivity,,,
Mammalia,Carnivora,Ailuridae,Ailurus,fulgens,Red panda,550.0,550.0,116.0,137.0,2.0,1.0,365.0,100.0,1140.0,4325.0,0.009,19.0,captivity,4.898,5740.0,310.75
Mammalia,Carnivora,Canidae,Atelocynus,microtis,Short-eared dog,,,,,,,,,,9500.0,,11.9,captivity,,,
Mammalia,Carnivora,Canidae,Canis,adustus,Side-striped jackal,274.0,274.0,64.0,42.0,4.0,2.0,,,,10250.0,,13.7,captivity,,,
Mammalia,Carnivora,Canidae,Canis,aureus,Golden jackal,334.0,334.0,63.0,75.0,3.0,1.0,365.0,207.5,,11000.0,,18.8,captivity,,,311.95
Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic dog,510.0,510.0,63.0,,6.0,,,,,40000.0,0.0244,27.0,captivity,,,
Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,274.0,274.0,63.0,60.0,6.0,1.0,365.0,250.0,1517.0,13250.0,0.0183,21.8,captivity,19.423,10148.9,310.15
Mammalia,Carnivora,Canidae,Canis,lupus,Gray wolf,669.0,669.0,62.0,47.0,6.0,0.8,365.0,450.0,5250.0,26625.0,0.0177,20.6,captivity,,,311.45
Mammalia,Carnivora,Canidae,Canis,mesomelas,Black-backed jackal,309.0,251.0,60.0,60.0,4.0,1.0,274.0,159.0,,10250.0,0.0149,16.7,captivity,21.533,7720.0,311.15
Mammalia,Carnivora,Canidae,Cerdocyon,thous,Crab-eating fox,274.0,274.0,55.0,90.0,4.0,1.9,243.0,140.0,,6500.0,0.0166,12.7,captivity,8.502,5444.0,311.35
Mammalia,Carnivora,Canidae,Chrysocyon,brachyurus,Maned wolf,730.0,,64.0,227.0,3.0,,,368.0,,21500.0,0.0116,16.8,captivity,,,
Mammalia,Carnivora,Canidae,Cuon,alpinus,Dhole,365.0,365.0,61.0,58.0,5.0,1.0,365.0,275.0,2350.0,15750.0,,16.1,captivity,,,
Mammalia,Carnivora,Canidae,Lycalopex,culpaeus,Culpeo,365.0,,61.0,61.0,4.0,1.0,365.0,168.0,,13000.0,,13.1,captivity,,,
Mammalia,Carnivora,Canidae,Lycalopex,griseus,Argentinian gray fox,,,56.0,,4.2,,,,,3990.0,,10.9,captivity,,,
Mammalia,Carnivora,Canidae,Lycalopex,gymnocercus,Pampas fox,304.0,,57.0,,4.0,,365.0,,,8500.0,,13.7,captivity,,,
Mammalia,Carnivora,Canidae,Lycalopex,sechurae,Sechuran fox,,,,,,,,,,4000.0,,9.9,captivity,,,
Mammalia,Carnivora,Canidae,Lycalopex,vetulus,Hoary fox,276.0,274.0,56.0,,3.0,,365.0,,,5350.0,,12.6,captivity,,,
Mammalia,Carnivora,Canidae,Lycaon,pictus,African wild dog,639.0,639.0,72.0,91.0,8.0,1.0,362.0,318.0,,26500.0,,17.0,captivity,33.01,8750.0,
Mammalia,Carnivora,Canidae,Nyctereutes,procyonoides,Raccoon dog,304.0,304.0,61.0,47.0,6.0,1.0,365.0,75.0,825.0,6500.0,,16.6,captivity,,,311.15
Mammalia,Carnivora,Canidae,Otocyon,megalotis,Bat-eared fox,365.0,,68.0,105.0,4.0,2.0,182.0,122.0,,4150.0,,17.0,captivity,,,
Mammalia,Carnivora,Canidae,Speothos,venaticus,Bush dog,304.0,365.0,68.0,101.0,4.0,2.0,249.0,160.0,,6000.0,,14.1,captivity,,,
Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,Gray fox,345.0,365.0,57.0,55.0,4.0,1.0,365.0,95.0,519.7,4750.0,0.0127,16.2,captivity,,,
Mammalia,Carnivora,Canidae,Urocyon,littoralis,Island gray fox,365.0,,52.0,61.0,2.6,1.0,365.0,100.0,,1890.7,,,unknown,,,
Mammalia,Carnivora,Canidae,Vulpes,bengalensis,Indian fox,,,50.0,,4.0,1.0,365.0,58.5,,2375.0,,,unknown,,,
Mammalia,Carnivora,Canidae,Vulpes,cana,Blanford's fox,304.0,304.0,55.0,46.0,2.0,,,29.0,,1000.0,,,unknown,,,311.65
Mammalia,Carnivora,Canidae,Vulpes,chama,Cape fox,274.0,274.0,51.0,,4.0,,,,,4000.0,,,unknown,,,
Mammalia,Carnivora,Canidae,Vulpes,corsac,Corsac fox,504.0,,53.0,28.0,4.7,,365.0,62.5,,2700.0,,13.0,captivity,,,
Mammalia,Carnivora,Canidae,Vulpes,lagopus,Arctic fox,304.0,304.0,52.0,51.0,9.0,1.0,365.0,70.0,,5200.0,,16.3,captivity,7.665,3600.0,311.75
Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit fox,365.0,365.0,54.0,,4.0,,365.0,40.0,,2500.0,,15.8,captivity,4.928,1769.0,311.15
Mammalia,Carnivora,Canidae,Vulpes,pallida,Pale fox,313.0,274.0,52.0,,4.0,,,75.0,,2800.0,,16.0,captivity,,,
Mammalia,Carnivora,Canidae,Vulpes,rueppellii,Ruppell's sand fox,365.0,,53.0,,2.0,,,,,3200.0,,14.3,captivity,,,
Mammalia,Carnivora,Canidae,Vulpes,velox,Swift fox,365.0,365.0,55.0,46.0,4.5,1.0,365.0,39.65,,2400.0,0.0315,15.9,captivity,4.948,1769.0,
Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red fox,304.0,304.0,52.0,48.0,5.0,1.0,365.0,100.0,1397.0,4131.7,0.0177,21.3,captivity,13.731,4580.3,311.85
Mammalia,Carnivora,Canidae,Vulpes,zerda,Fennec,274.0,274.0,51.0,66.0,2.2,1.0,365.0,26.28,,1250.0,,16.3,captivity,2.693,1159.2,311.95
Mammalia,Carnivora,Eupleridae,Cryptoprocta,ferox,Fossa,1496.0,,90.0,129.0,3.0,1.0,,100.0,,9500.0,0.0038,23.1,captivity,,,
Mammalia,Carnivora,Eupleridae,Fossa,fossana,Malagasy civet,728.0,,82.0,76.0,1.0,,365.0,67.5,,1540.0,,21.4,captivity,5.02262,2260.0,311.05
Mammalia,Carnivora,Eupleridae,Galidia,elegans,Ring-tailed mongoose,737.0,,72.0,60.0,1.0,1.0,365.0,50.0,183.0,800.0,0.0093,26.0,captivity,,,
Mammalia,Carnivora,Eupleridae,Mungotictis,decemlineata,Narrow-striped mongoose,742.0,,99.0,39.0,1.0,,,50.0,,700.0,,,unknown,,,
Mammalia,Carnivora,Felidae,Acinonyx,jubatus,Cheetah,456.0,456.0,88.0,107.0,3.0,0.7,537.0,489.0,1940.0,53500.0,,20.5,captivity,61.77,38446.1,312.15
Mammalia,Carnivora,Felidae,Caracal,caracal,Caracal,456.0,456.0,74.0,122.0,3.0,,365.0,165.0,,16000.0,0.0096,20.3,captivity,,,
Mammalia,Carnivora,Felidae,Catopuma,temminckii,Asiatic golden cat,639.0,,95.0,,1.0,,,250.0,,13500.0,,23.0,captivity,,,
Mammalia,Carnivora,Felidae,Felis,catus,Domestic cat,289.0,304.0,65.0,56.0,4.0,,,97.5,,3900.0,,30.0,captivity,,,311.25
Mammalia,Carnivora,Felidae,Felis,chaus,Jungle cat,335.0,,60.0,90.0,3.0,2.0,112.0,131.0,2212.5,10000.0,0.0165,20.0,captivity,,,
Mammalia,Carnivora,Felidae,Felis,manul,Pallas' cat,365.0,,72.0,,4.1,,,89.0,,3500.0,,15.9,captivity,,,
Mammalia,Carnivora,Felidae,Felis,margarita,Sand cat,274.0,,67.0,,4.5,2.0,198.0,55.5,,2750.0,0.0255,13.9,captivity,,,
Mammalia,Carnivora,Felidae,Felis,nigripes,Black-footed cat,445.0,434.0,66.0,,2.0,4.0,228.0,72.4,,2125.0,,15.6,captivity,,,
Mammalia,Carnivora,Felidae,Felis,silvestris,Wild cat,304.0,304.0,64.0,87.0,3.7,2.3,114.0,100.0,643.0,5500.0,0.0113,19.0,captivity,,,
Mammalia,Carnivora,Felidae,Leopardus,colocolo,Colocolo,,,,,2.5,,,,,2950.0,,19.6,captivity,,,
Mammalia,Carnivora,Felidae,Leopardus,geoffroyi,Geoffroy's cat,479.0,,75.0,68.0,2.0,1.3,240.0,93.2,,4000.0,,23.0,captivity,,,
Mammalia,Carnivora,Felidae,Leopardus,guigna,Kodkod,,,,,,,,,,2230.0,,,unknown,,,
Mammalia,Carnivora,Felidae,Leopardus,pardalis,Ocelot,600.0,600.0,77.0,106.0,2.0,1.0,452.0,255.5,3400.0,8800.0,,28.2,captivity,17.368,10500.0,311.15
Mammalia,Carnivora,Felidae,Leopardus,tigrinus,Little spotted cat,,,75.0,56.0,1.5,,,,,2250.0,,21.9,captivity,,,
Mammalia,Carnivora,Felidae,Leopardus,wiedii,Margay,659.0,,81.0,56.0,1.5,,,166.5,785.1,3666.7,,24.0,captivity,5.227,3600.0,311.55
Mammalia,Carnivora,Felidae,Leptailurus,serval,Serval,821.0,,70.0,128.0,2.5,2.5,176.0,263.0,,13350.0,,22.4,captivity,1.44,1012.0,
Mammalia,Carnivora,Felidae,Lynx,canadensis,Canada lynx,498.0,573.0,63.0,152.0,3.5,1.0,365.0,204.0,,10100.0,,26.8,captivity,,,
Mammalia,Carnivora,Felidae,Lynx,lynx,Eurasian lynx,639.0,1004.0,66.0,87.0,2.0,1.0,365.0,246.5,1860.0,23000.0,0.0097,26.0,captivity,,,
Mammalia,Carnivora,Felidae,Lynx,pardinus,Spanish lynx,,,68.0,,2.5,,,,,11000.0,,,unknown,,,
Mammalia,Carnivora,Felidae,Lynx,rufus,Bobcat,365.0,730.0,65.0,65.0,3.0,0.9,365.0,265.0,1190.0,8600.0,0.0068,32.3,captivity,23.446,9400.0,
Mammalia,Carnivora,Felidae,Neofelis,nebulosa,Clouded leopard,730.0,1095.0,89.0,130.0,2.0,,,170.0,5427.5,19500.0,,19.8,captivity,,,
Mammalia,Carnivora,Felidae,Panthera,leo,Lion,1095.0,1095.0,109.0,,3.0,1.0,649.0,1300.0,,175000.0,0.0035,28.0,captivity,94.58,98000.0,311.05
Mammalia,Carnivora,Felidae,Panthera,onca,Jaguar,730.0,730.0,99.0,126.0,2.0,0.5,365.0,820.0,5033.5,81150.0,0.0072,28.0,captivity,62.419,50400.0,310.15
Mammalia,Carnivora,Felidae,Panthera,pardus,Leopard,937.0,771.0,97.0,110.0,2.0,1.25,444.0,550.0,1940.0,53750.0,0.0079,27.3,captivity,,,
Mammalia,Carnivora,Felidae,Panthera,tigris,Tiger,1268.0,1415.0,105.0,121.0,2.5,0.4,750.0,1190.0,11003.0,119700.0,,26.3,captivity,133.859,137900.0,310.65
Mammalia,Carnivora,Felidae,Pardofelis,marmorata,Marbled cat,937.0,771.0,97.0,,2.0,,,85.0,,3500.0,,,unknown,,,
Mammalia,Carnivora,Felidae,Prionailurus,bengalensis,Leopard cat,365.0,,62.0,45.0,2.5,,163.0,96.0,620.0,5000.0,,17.0,captivity,,,
Mammalia,Carnivora,Felidae,Prionailurus,planiceps,Flat-headed cat,,,56.0,,,,,,,6750.0,,14.0,captivity,,,
Mammalia,Carnivora,Felidae,Prionailurus,rubiginosus,Rusty-spotted cat,,,68.0,,2.5,,,,,1350.0,,17.9,captivity,,,
Mammalia,Carnivora,Felidae,Prionailurus,viverrinus,Fishing cat,,,72.0,182.0,2.0,,,170.0,,10650.0,,17.2,captivity,,,
Mammalia,Carnivora,Felidae,Profelis,aurata,African golden cat,651.0,,81.0,,2.0,,,248.33,,10650.0,,21.0,captivity,,,
Mammalia,Carnivora,Felidae,Puma,concolor,Cougar,912.0,912.0,92.0,90.0,2.5,0.45,786.0,400.0,3500.0,63000.0,0.0061,27.0,captivity,49.326,37200.0,310.75
Mammalia,Carnivora,Felidae,Puma,yagouaroundi,Jaguarundi,803.0,,73.0,,2.0,2.0,182.0,,,7000.0,,18.6,captivity,9.69,8400.0,311.55
Mammalia,Carnivora,Felidae,Uncia,uncia,Snow leopard,730.0,730.0,96.0,77.0,2.0,1.0,365.0,475.0,7500.0,50000.0,,21.2,captivity,,,
Mammalia,Carnivora,Herpestidae,Atilax,paludinosus,Marsh mongoose,235.0,255.0,76.0,36.0,2.0,2.0,182.0,100.0,550.0,3300.0,,20.8,captivity,,,
Mammalia,Carnivora,Herpestidae,Bdeogale,nigripes,Black-footed mongoose,,,,,1.0,,,,,2000.0,,15.8,captivity,,,
Mammalia,Carnivora,Herpestidae,Crossarchus,obscurus,Long-nosed cusimanse,274.0,274.0,58.0,23.0,4.0,2.5,122.0,9.8,,790.0,,13.3,captivity,,,
Mammalia,Carnivora,Herpestidae,Cynictis,penicillata,Yellow mongoose,730.0,,56.0,61.0,2.0,2.0,365.0,,,598.5,,15.2,captivity,,,
Mammalia,Carnivora,Herpestidae,Galerella,pulverulenta,Cape gray mongoose,,,61.0,58.0,2.6,,,20.2,,650.0,,11.7,captivity,,,
Mammalia,Carnivora,Herpestidae,Galerella,sanguinea,Slender mongoose,365.0,365.0,65.0,55.0,2.0,2.0,182.0,,,500.0,,12.6,captivity,2.202,519.6,311.85
Mammalia,Carnivora,Herpestidae,Helogale,parvula,Dwarf mongoose,456.0,,55.0,21.0,3.0,2.25,142.0,,,274.8,,20.0,captivity,,,
Mammalia,Carnivora,Herpestidae,Herpestes,brachyurus,Short-tailed mongoose,,,,,3.5,,,,,1414.1,,,unknown,,,
Mammalia,Carnivora,Herpestidae,Herpestes,edwardsi,Indian gray mongoose,311.0,,59.0,,2.6,3.3,110.0,,,1000.0,,12.3,captivity,,,
Mammalia,Carnivora,Herpestidae,Herpestes,ichneumon,Egyptian mongoose,730.0,730.0,74.0,61.0,3.0,1.5,365.0,,800.0,2200.0,,,unknown,,,
Mammalia,Carnivora,Herpestidae,Herpestes,javanicus,Javan mongoose,301.0,122.0,49.0,50.0,2.0,2.0,151.0,25.92,275.0,800.0,,16.6,captivity,2.248,611.0,312.95
Mammalia,Carnivora,Herpestidae,Herpestes,naso,Long-nosed mongoose,,,,,,,,,,3000.0,,,unknown,,,
Mammalia,Carnivora,Herpestidae,Herpestes,smithii,Ruddy mongoose,,,,,2.5,,,,,1702.5,,17.8,captivity,,,
Mammalia,Carnivora,Herpestidae,Herpestes,urva,Crab-eating mongoose,,,66.0,,3.0,,,,,1863.2,,13.3,captivity,,,
Mammalia,Carnivora,Herpestidae,Herpestes,vitticollis,Striped-necked mongoose,,,,,2.5,,,,,2250.0,,12.8,captivity,,,
Mammalia,Carnivora,Herpestidae,Ichneumia,albicauda,White-tailed mongoose,755.0,,,274.0,2.3,,,,,3500.0,,14.8,captivity,,,
Mammalia,Carnivora,Herpestidae,Mungos,mungo,Banded mongoose,289.0,,60.0,,2.5,2.0,365.0,39.0,,1331.5,,17.4,captivity,,,
Mammalia,Carnivora,Herpestidae,Suricata,suricatta,Meerkat,365.0,365.0,77.0,,4.0,1.0,365.0,29.0,,776.0,0.0161,20.6,captivity,1.729,850.0,309.45
Mammalia,Carnivora,Hyaenidae,Crocuta,crocuta,Spotted hyena,1095.0,639.0,110.0,265.0,2.0,1.0,449.0,1390.0,14500.0,63000.0,0.0056,41.1,captivity,,,
Mammalia,Carnivora,Hyaenidae,Hyaena,brunnea,Brown hyena,1000.0,,92.0,342.0,2.5,0.4,511.0,688.0,27400.0,42250.0,,31.9,captivity,,,
Mammalia,Carnivora,Hyaenidae,Hyaena,hyaena,Striped hyena,800.0,800.0,90.0,279.0,2.5,,237.0,700.0,,40000.0,,25.0,captivity,31.954,34300.0,310.15
Mammalia,Carnivora,Hyaenidae,Proteles,cristata,Aardwolf,631.0,,84.0,132.0,2.5,,,275.0,,10000.0,,20.0,captivity,11.563,7902.6,309.55
Mammalia,Carnivora,Mephitidae,Conepatus,chinga,Molina's hog-nosed skunk,,,,,,,,,,3400.0,,10.0,captivity,,,
Mammalia,Carnivora,Mephitidae,Conepatus,leuconotus,"American hog-nosed skunk, or Hog-nosed skunk",319.0,319.0,56.0,,3.4,1.5,182.0,,,1900.0,,10.2,captivity,,,
Mammalia,Carnivora,Mephitidae,Mephitis,macroura,Hooded skunk,,,61.0,,5.3,,,,,965.0,,,unknown,,,
Mammalia,Carnivora,Mephitidae,Mephitis,mephitis,Striped skunk,335.0,335.0,63.0,60.0,5.0,1.0,365.0,33.5,493.5,3500.0,0.0143,13.9,captivity,,,309.6
Mammalia,Carnivora,Mephitidae,Spilogale,putorius,Eastern spotted skunk,152.0,152.0,31.0,50.0,5.0,1.5,243.0,9.5,160.0,600.0,0.0311,10.5,captivity,1.674,624.0,309.55
Mammalia,Carnivora,Mustelidae,Aonyx,capensis,African clawless otter,365.0,365.0,63.0,53.0,2.5,,,1050.0,3360.0,23500.0,,14.2,captivity,,,
Mammalia,Carnivora,Mustelidae,Aonyx,cinereus,Oriental small-clawed otter,730.0,730.0,63.0,,1.42,2.0,182.0,57.0,,3000.0,,23.0,captivity,,,
Mammalia,Carnivora,Mustelidae,Arctonyx,collaris,Hog badger,,,42.0,104.0,3.0,,,58.0,,10500.0,,15.8,captivity,,,
Mammalia,Carnivora,Mustelidae,Eira,barbara,Tayra,700.0,183.0,66.0,75.0,2.0,,,83.0,1708.0,4500.0,0.0159,22.3,captivity,6.811,2950.0,311.55
Mammalia,Carnivora,Mustelidae,Enhydra,lutris,Sea otter,974.0,1369.0,140.0,175.0,1.0,0.8,548.0,1868.0,13425.0,25850.0,,27.0,captivity,98.479,26832.8,310.65
Mammalia,Carnivora,Mustelidae,Galictis,cuja,Lesser grison,,,,,,,,,,1000.0,,10.2,captivity,,,
Mammalia,Carnivora,Mustelidae,Galictis,vittata,Greater grison,,,40.0,,2.0,,,,,2300.0,,12.5,captivity,,,
Mammalia,Carnivora,Mustelidae,Gulo,gulo,Wolverine,710.0,776.0,35.0,87.0,3.0,0.5,639.0,95.0,,16333.3,0.0182,19.5,captivity,31.765,12700.0,310.15
Mammalia,Carnivora,Mustelidae,Hydrictis,maculicollis,Spotted-necked otter,842.0,,61.0,,2.0,,365.0,,,4000.0,,22.9,captivity,,,
Mammalia,Carnivora,Mustelidae,Ictonyx,libycus,Saharan striped polecat,,,38.0,,2.0,,,,,425.0,,,unknown,,,
Mammalia,Carnivora,Mustelidae,Ictonyx,striatus,Striped polecat,304.0,393.0,36.0,79.0,2.0,1.0,365.0,15.0,170.0,910.0,0.0361,14.0,captivity,,,
Mammalia,Carnivora,Mustelidae,Lontra,canadensis,Northern river otter,730.0,730.0,62.0,122.0,2.5,0.9,365.0,140.0,1510.0,9000.0,,27.0,captivity,,,311.55
Mammalia,Carnivora,Mustelidae,Lontra,longicaudis,Neotropical river otter,,,57.0,,2.5,,,,,7500.0,,,unknown,,,
Mammalia,Carnivora,Mustelidae,Lutra,lutra,European otter,548.0,548.0,61.0,55.0,2.0,1.0,365.0,110.5,,6750.0,,18.2,captivity,25.104,10000.0,311.25
Mammalia,Carnivora,Mustelidae,Lutrogale,perspicillata,Smooth-coated otter,944.0,,63.0,,5.0,,,,,9000.0,,,unknown,,,
Mammalia,Carnivora,Mustelidae,Martes,americana,American marten,365.0,365.0,28.0,46.0,3.0,1.0,365.0,30.0,392.0,884.0,,17.8,captivity,3.579,966.5,311.15
Mammalia,Carnivora,Mustelidae,Martes,flavigula,Yellow-throated marten,1263.0,,150.0,,2.5,,182.0,57.5,,2500.0,,16.0,captivity,,,
Mammalia,Carnivora,Mustelidae,Martes,foina,Beech marten,548.0,730.0,30.0,66.0,3.5,1.0,365.0,30.0,,1700.0,,18.2,captivity,,,
Mammalia,Carnivora,Mustelidae,Martes,martes,European pine marten,456.0,426.0,28.0,59.0,4.0,1.0,365.0,30.0,680.0,1300.0,,18.2,captivity,4.0,920.0,310.15
Mammalia,Carnivora,Mustelidae,Martes,melampus,Japanese marten,,,,,,,,,,1000.0,,,unknown,,,
Mammalia,Carnivora,Mustelidae,Martes,pennanti,Fisher,365.0,365.0,45.0,66.0,2.5,1.0,365.0,35.0,,3175.0,,14.3,captivity,,,311.65
Mammalia,Carnivora,Mustelidae,Martes,zibellina,Sable,456.0,456.0,30.0,56.0,3.0,,,30.0,600.0,1066.7,,18.4,captivity,,,
Mammalia,Carnivora,Mustelidae,Meles,meles,"European badger, or Old World badger",365.0,365.0,49.0,90.0,3.0,1.0,365.0,80.0,,13000.0,0.0196,18.6,captivity,16.647,11050.0,310.15
Mammalia,Carnivora,Mustelidae,Mellivora,capensis,Honey badger,,,180.0,,2.0,2.0,182.0,210.0,,10000.0,,31.3,captivity,,,
Mammalia,Carnivora,Mustelidae,Melogale,moschata,Chinese ferret-badger,,,,,2.5,,,,,672.0,,19.0,captivity,,,
Mammalia,Carnivora,Mustelidae,Melogale,personata,Burmese ferret-badger,,,,,3.0,,,,,2000.0,,,unknown,,,
Mammalia,Carnivora,Mustelidae,Mustela,erminea,Ermine,95.0,365.0,43.0,45.0,6.77,1.0,365.0,2.3,26.6,110.3,,12.5,captivity,1.276,125.5,312.75
Mammalia,Carnivora,Mustelidae,Mustela,eversmanii,Steppe polecat,319.0,319.0,36.0,51.0,9.4,1.0,365.0,5.73,,1350.0,,9.1,captivity,,,
Mammalia,Carnivora,Mustelidae,Mustela,frenata,Long-tailed weasel,162.0,365.0,25.0,37.0,6.2,1.0,365.0,3.1,34.6,150.6,,8.8,captivity,1.344,225.0,312.15
Mammalia,Carnivora,Mustelidae,Mustela,lutreola,European mink,323.0,323.0,54.0,57.0,4.0,,365.0,8.0,,590.0,,8.4,captivity,,,
Mammalia,Carnivora,Mustelidae,Mustela,nigripes,Black-footed ferret,365.0,365.0,43.0,,3.0,,365.0,7.4,,1021.0,,9.4,captivity,,,
Mammalia,Carnivora,Mustelidae,Mustela,nivalis,Least weasel,120.0,120.0,36.0,39.0,5.0,1.5,200.0,2.6,43.5,46.9,0.0546,9.1,captivity,,,
Mammalia,Carnivora,Mustelidae,Mustela,putorius,European polecat,312.0,322.0,42.0,63.0,7.5,1.5,140.0,9.5,,809.0,0.0328,11.1,captivity,,,
Mammalia,Carnivora,Mustelidae,Mustela,sibirica,Siberian weasel,,,29.0,60.0,6.0,,,,,565.0,,8.8,captivity,,,
Mammalia,Carnivora,Mustelidae,Neovison,vison,American mink,334.0,371.0,42.0,49.0,4.5,1.0,365.0,8.5,110.0,925.0,0.0266,11.4,captivity,2.722,660.0,312.15
Mammalia,Carnivora,Mustelidae,Poecilogale,albinucha,African striped weasel,439.0,,32.0,65.0,2.2,1.2,240.0,4.0,50.0,280.0,0.0255,,unknown,,,
Mammalia,Carnivora,Mustelidae,Pteronura,brasiliensis,Giant otter,730.0,,68.0,122.0,1.5,1.0,365.0,204.25,,24000.0,,17.3,captivity,,,
Mammalia,Carnivora,Mustelidae,Taxidea,taxus,American badger,183.0,441.0,41.0,56.0,3.0,0.7,365.0,93.5,3000.0,8000.0,,25.0,captivity,15.062,9000.0,311.15
Mammalia,Carnivora,Mustelidae,Vormela,peregusna,Marbled polecat,91.0,,61.0,30.0,5.76,,365.0,,,542.5,,8.8,captivity,,,
Mammalia,Carnivora,Nandiniidae,Nandinia,binotata,African palm civet,1095.0,1095.0,64.0,64.0,2.0,2.0,182.0,55.0,,1900.0,,21.0,captivity,5.565,4270.0,310.55
Mammalia,Carnivora,Odobenidae,Odobenus,rosmarus,Walrus,1745.0,2635.0,331.0,730.0,1.0,0.5,834.0,60000.0,200000.0,1012500.0,0.0009,,unknown,,,
Mammalia,Carnivora,Otariidae,Arctocephalus,australis,South American fur seal,1095.0,2556.0,236.0,411.0,1.0,1.0,365.0,4250.0,,110000.0,,30.6,captivity,,,
Mammalia,Carnivora,Otariidae,Arctocephalus,forsteri,New Zealand fur seal,1825.0,1825.0,236.0,335.0,1.0,1.0,365.0,3833.33,,55000.0,,,unknown,,,
Mammalia,Carnivora,Otariidae,Arctocephalus,galapagoensis,Galapagos fur seal,1461.0,2553.0,213.0,776.0,1.0,1.0,365.0,3500.0,15000.0,45500.0,,,unknown,,,
Mammalia,Carnivora,Otariidae,Arctocephalus,gazella,Antarctic fur seal,1278.0,1278.0,257.0,122.0,1.0,1.0,365.0,6000.0,15800.0,84500.0,0.0014,,unknown,,,
